30; 20; 3
3;10;0;0;2
11;28;0;0;1
7;29;0;1;1
8;13;0;1;1
20;25;0;1;1
3;19;0;2;1
7;29;0;2;1
8;13;0;2;1
20;25;0;2;2
3;10;0;3;1
7;5;0;3;1
8;24;0;3;1
11;28;0;3;2
20;25;0;3;1
3;12;0;4;1
11;28;0;4;3
20;18;0;4;1
8;24;0;5;1
11;22;0;5;1
3;19;0;6;1
7;5;0;6;1
8;24;0;6;1
7;29;0;7;1
11;28;0;8;1
3;17;0;9;1
7;29;0;9;1
11;2;0;9;1
7;23;0;10;1
11;22;0;10;1
3;12;0;11;1
8;13;0;11;1
8;13;0;12;2
20;14;0;12;1
7;29;0;13;1
8;24;0;13;1
3;10;0;14;1
11;21;0;14;1
20;9;0;14;1
7;13;0;15;1
8;24;0;15;1
3;10;0;16;1
3;12;0;16;1
8;24;0;16;1
20;25;0;16;1
8;13;0;17;1
3;10;0;18;1
8;13;0;18;1
3;10;0;19;1
7;5;0;19;1
20;0;0;19;1
3;10;1;0;1
11;21;1;0;3
3;10;1;1;1
7;26;1;1;1
11;22;1;1;1
8;13;1;2;1
11;28;1;2;1
8;13;1;3;1
7;29;1;4;1
11;27;1;5;2
3;10;1;6;2
7;4;1;7;1
8;13;1;7;1
11;16;1;7;2
20;9;1;7;1
20;18;1;7;1
7;4;1;8;1
8;13;1;8;2
11;1;1;8;1
7;26;1;9;1
8;13;1;10;1
20;6;1;10;2
20;25;1;10;1
7;4;1;11;1
11;2;1;11;1
11;19;1;11;1
8;13;1;12;1
20;9;1;12;3
7;26;1;13;2
20;2;1;13;1
3;10;1;14;1
3;10;1;15;1
7;29;1;15;1
8;13;1;15;1
20;18;1;15;1
3;10;1;16;2
20;0;1;16;3
20;18;1;16;3
7;15;1;17;1
20;2;1;17;1
20;25;1;17;1
3;12;1;18;1
7;15;1;18;1
8;13;1;18;2
11;19;1;18;2
20;0;1;18;1
3;12;2;0;1
7;26;2;0;1
11;21;2;0;1
11;27;2;0;1
11;28;2;0;1
20;18;2;0;1
7;5;2;1;1
11;27;2;1;1
20;2;2;1;1
3;19;2;2;1
11;27;2;2;2
7;23;2;3;1
8;25;2;3;1
11;1;2;3;1
11;21;2;3;1
20;9;2;3;1
3;17;2;4;1
7;23;2;5;2
8;24;2;5;1
11;28;2;5;1
20;9;2;5;1
8;24;2;6;1
8;4;2;7;1
11;2;2;7;1
11;19;2;7;1
20;18;2;8;1
7;23;2;9;1
20;2;2;9;1
7;23;2;10;1
11;1;2;11;1
3;17;2;12;1
8;4;2;12;1
20;2;2;12;1
20;18;2;12;2
3;10;2;13;1
7;5;2;13;1
8;24;2;13;3
20;2;2;13;1
3;10;2;14;1
3;19;2;14;2
8;5;2;14;2
11;16;2;14;1
3;12;2;15;1
8;25;2;15;1
11;28;2;15;1
20;9;2;15;1
3;10;2;16;1
3;17;2;16;1
7;29;2;16;1
20;9;2;16;1
7;26;2;17;1
8;13;2;17;1
7;5;2;18;1
8;5;2;19;1
11;27;2;19;1
20;0;2;19;2
